id,Subject,YearGroup,Term1Knowledge,Term1Skills,Term2Knowledge,Term2Skills,Term3Knowledge,Term3Skills,Term4Knowledge,Term4Skills,Term5Knowledge,Term5Skills,Term6Knowledge,Term6Skills,Assessment,LiteracyNumeracy,PersonalDevelopment,HomeLearning,Term1Assessment,Term2Assessment,Term3Assessment,Term4Assessment,Term5Assessment,Term6Assessment
670,Food and Nutrition,Year 8,,,,,,,Eat well guide,"Measurement, Ratio, Fractions",,,,,,"Descriptive adjectives, Subject specific terminology",Cultural- Giving pupils the opportunity to explore cultural differences in food and diet – to explore their own cultural assumptions and values.,,,,,,,
671,Food and Nutrition,Year 8,,,,,,,,,Sensory analysis,"Measurement, Ratio, Fractions",,,,"Descriptive adjectives, Subject specific terminology",Pupils learn about Government guidance given on Healthy Eating and the concern for the health of the British population.,,,,,,,
672,Food and Nutrition,Year 8,,,,,,,,,,,Knife skills,"Measurement, Ratio, Fractions",,"Descriptive adjectives, Subject specific terminology",Experience opportunities for personal enrichment through cultural experiences.,,,,,,,
673,Food and Nutrition,Year 9,Eatwell guide & healthy eating guidelines,"Measurement, Ratio, Fractions",,,,,,,,,,,,"Descriptive adjectives, Subject specific terminology","Spiritual – Encouraging self awareness, Experience opportunities for creativity through practical outcomes. Develop an understanding of others and their dietary needs and accepting difference and diversity in food choices. Experience opportunities to taste and explore new foods.",,,,,,,
674,Food and Nutrition,Year 9,,,Food from around the world,"Measurement, Ratio, Fractions",,,,,,,,,,"Descriptive adjectives, Subject specific terminology","Moral- Acknowledging and exploring government guidelines for healthy eating, dietary requirements to make healthy life choices. Promoting opportunities to explore food around the world through sensory testing.",,,,,,,
675,Food and Nutrition,Year 9,,,,,Use of electrical equipment,"Measurement, Ratio, Fractions",,,,,,,,"Descriptive adjectives, Subject specific terminology",Social- Promoting participation and teamwork in practical cooking lessons – encouraging pupils to work co-operatively. Promote independency through practical task assessments.,,,,,,,
676,Food and Nutrition,Year 9,,,,,,,Nutrients,"Measurement, Ratio, Fractions",,,,,,"Descriptive adjectives, Subject specific terminology",Cultural- Giving pupils the opportunity to explore cultural differences in food and diet – to explore their own cultural assumptions and values.,,,,,,,
677,Food and Nutrition,Year 9,,,,,,,,,Food hygiene and safety,"Measurement, Ratio, Fractions",,,,"Descriptive adjectives, Subject specific terminology",Pupils learn about Government guidance given on Healthy Eating and the concern for the health of the British population.,,,,,,,
678,Food and Nutrition,Year 9,,,,,,,,,,,Diet and dietary needs,"Measurement, Ratio, Fractions",,"Descriptive adjectives, Subject specific terminology",Experience opportunities for personal enrichment through cultural experiences.,,,,,,,
679,Food and Nutrition,Year 10,"Food preparation skills - general practical skills, knife skills, preparing fruit and vegetables, Use of the cooker","Measurement, Ratio, Fractions",,,,,,,,,,,,"Descriptive adjectives, Subject specific terminology","Spiritual – Encouraging self awareness, Experience opportunities for creativity through practical outcomes. Develop an understanding of others and their dietary needs and accepting difference and diversity in food choices. Experience opportunities to taste and explore new foods and understanding of skills.",,,,,,,
680,Food and Nutrition,Year 10,,,"Skills 1-12, Food, Nutrition and Health – Nutritional needs and health","Measurement, Ratio, Fractions",,,,,,,,,,"Descriptive adjectives, Subject specific terminology","Moral- Acknowledging and exploring government guidelines for healthy eating, dietary requirements to make healthy life choices. Promoting opportunities to explore food around the world through sensory testing. Recognising the dietary needs of different people including coeliacs, diabetics, lactose intolerance.",,,,,,,
681,Food and Nutrition,Year 10,,,,,"Food, Nutrition and Health – macronutrients & micronutrients","Measurement, Ratio, Fractions",,,,,,,,"Descriptive adjectives, Subject specific terminology",Social- Promoting participation and teamwork in practical cooking lessons – encouraging pupils to work co-operatively. Promote independency through practical task assessments. Allowing opportunities to explore the etiquettes of dining and presentation.,,,,,,,
682,Food and Nutrition,Year 10,,,,,,,"Food preparation skills - use of equipment, cooking methods, preparing, combining and shaping.","Measurement, Ratio, Fractions",,,,,,"Descriptive adjectives, Subject specific terminology",Cultural- Giving pupils the opportunity to explore cultural differences in food and diet – to explore their own cultural assumptions and values.,,,,,,,
683,Food and Nutrition,Year 10,,,,,,,,,"Food, Nutrition and Health – micronutrients (and water)","Measurement, Ratio, Fractions",,,,"Descriptive adjectives, Subject specific terminology",Pupils learn about Government guidance given on Healthy Eating and the concern for the health of the British population.,,,,,,,
684,Food and Nutrition,Year 10,,,,,,,,,,,Presentation skills – piping skills,"Measurement, Ratio, Fractions",,"Descriptive adjectives, Subject specific terminology",Experience opportunities for personal enrichment through cultural experiences.,,,,,,,
685,Food and Nutrition,Year 11,"NEA1 Task, Investigation of the functional properties of ingredients","Measurement, Ratio, Fractions",,,,,,,,,,,,"Descriptive adjectives, Subject specific terminology","Spiritual – Encouraging self awareness, Experience opportunities for creativity through practical outcomes. Develop an understanding of others and their dietary needs and accepting difference and diversity in food choices. Experience opportunities to taste and explore new foods and understanding of skills.",,,,,,,
686,Food and Nutrition,Year 11,,,Food Science – functional and chemical properties of food,"Measurement, Ratio, Fractions",,,,,,,,,,"Descriptive adjectives, Subject specific terminology","Moral- Acknowledging and exploring government guidelines for healthy eating, dietary requirements to make healthy life choices. Promoting opportunities to explore food around the world through sensory testing. Recognising the dietary needs of different people including coeliacs, diabetics, lactose intolerance.",,,,,,,
687,Food and Nutrition,Year 11,,,,,Review of Nutrients,"Measurement, Ratio, Fractions",,,,,,,,"Descriptive adjectives, Subject specific terminology",Social- Promoting participation and teamwork in practical cooking lessons – encouraging pupils to work co-operatively. Promote independency through practical task assessments. Allowing opportunities to explore the etiquettes of dining and presentation.,,,,,,,
688,Food and Nutrition,Year 11,,,,,,,"NEA1 & NEA2 Task, Food Science – functional and chemical properties of food.","Measurement, Ratio, Fractions",,,,,,"Descriptive adjectives, Subject specific terminology",Cultural- Giving pupils the opportunity to explore cultural differences in food and diet – to explore their own cultural assumptions and values.,,,,,,,
689,Food and Nutrition,Year 11,,,,,,,,,Food Choice - factors affecting food choice,"Measurement, Ratio, Fractions",,,,"Descriptive adjectives, Subject specific terminology",Pupils learn about Government guidance given on Healthy Eating and the concern for the health of the British population.,,,,,,,
690,Food and Nutrition,Year 11,,,,,,,,,,,"Practical skills 1-12, Examination technique – multiple choice.","Measurement, Ratio, Fractions",,"Descriptive adjectives, Subject specific terminology",Experience opportunities for personal enrichment through cultural experiences.,,,,,,,
691,Life Skills,Year 10 & 11,Basic life skills,Weighing and measuring,,,,,,,,,,,,Reading instructions/recipes,"Spiritual- Experience opportunities for creativity, understanding the value of relationships",,,,,,,
692,Life Skills,Year 10 & 11,,,Independence skills,Weighing and measuring,,,,,,,,,,Reading instructions/recipes,"Moral- Respect others, working together, perseverance",,,,,,,
693,Life Skills,Year 10 & 11,,,,,Independence skills,Weighing and measuring,,,,,,,,Specific vocab words to do with safety,"Social- team work, sense of enjoyment",,,,,,,
694,Life Skills,Year 10 & 11,,,,,,,Living safely in a home,Weighing and measuring,,,,,,Specific vocab words to do with safety,Cultural- openness to new ideas,,,,,,,
695,Life Skills,Year 10 & 11,,,,,,,,,Living safely in a home,Weighing and measuring,,,,Reading instructions/recipes,"Spiritual- Experience opportunities for creativity, understanding the value of relationships",,,,,,,
696,Life Skills,Year 10 & 11,,,,,,,,,,,Independence skills,Weighing and measuring,,Reading instructions/recipes,"Moral- Respect others, working together, perseverance",,,,,,,
697,Life Skills,Year 10,Personal awareness,Weighing and measuring,,,,,,,,,,,,"Command words, role play activities","Spiritual- Experience opportunities for creativity, understanding the value of relationships",,,,,,,
698,Life Skills,Year 10,,,Make a simple meal,Weighing and measuring,,,,,,,,,,Command words specific to working in the kitchen,"Moral- Respect others, working together, perseverance",,,,,,,
699,Life Skills,Year 10,,,,,Make a simple meal,Weighing and measuring,,,,,,,,Command words specific to working in the kitchen,"Social- team work, sense of enjoyment",,,,,,,
700,Life Skills,Year 10,,,,,,,Household shopping,Measuring and counting,,,,,,"To be able to read and identify information on receipts, Money handling",Cultural- openness to new ideas,,,,,,,
